Word,ExcludedSenses,WordnetSenses,WordnetSubsenses,Notes,Examples,Syntax1,Syntax2,Syntax3,Semantics1,Semantics2,Semantics3,ThRole1,ThRole2,ThRole3
abbreviate,#,1 2,#,#,Kim abbreviated her visit,NP,NP,#,*,*,#,EFNT,PTNT,
abhor,#,1,#,#,Kim abhors spiders,NP,NP,#,sentient,*,#,EXPR,Experienced,
abide,#,2,#,"sense 1 excluded as archaic 
I would like to express the fact that this verb is usually in the negative",Kim cannot abide spiders,NP,NP,#,sentient,*,#,EXPR,Experienced,
abominate,#,1,#,#,Kim abominates spiders,NP,NP,#,sentient,*,#,EXPR,Experienced,
abort,#,1,2,I treat abort pregnancy sense 2 as a subsense of terminate sense 1 despite Wordnet definition,Kim aborted the project/The project aborted,NP,NP,#,sentient,*,#,AGNT,THME,
abort,#,1,2,I treat abort pregnancy sense 2 as a subsense of terminate sense 1 despite Wordnet definition,Kim aborted the project/The project aborted,NP,#,#,*,#,#,THME,#,
absent,#,1,#,#,Kim absented herself (from the meeting),NP,NPrefl,#,animate,animate,#,AGNT,THME,
abstract,1 2,3,#,senses 1 and 2 excluded as rare,Kim abstracted the main points from the article,NP,NP,PP(from),*,*,location,EFNT,THME,LOC
abstract,1 2,4,#,#,Kim abstracted the article,NP,NP,#,*,info,#,AGNT,PTNT,
accept,#,1 11,#,sense 10 excluded as obscure,Kim cannot accept interference,NP,NP,#,sentient,*,#,EXPR,Experienced,
accept,#,2 3 6 8 9,#,#,Kim accepted a gift from Mary,NP,NP,#,*,*,#,EFNT,FORM,
accept,#,2 3 6 8 9,#,#,Kim accepted a gift from Mary,NP,NP,PP(from),*,*,*,EFNT,FORM,SRCE
accept,#,4 5,#,#,Kim accepted Mary as her new neighbor,NP,NP,PP(as),sentient,*,*,AGNT,THME,THME
accept,#,7,#,#,Each course accepts 5 students/We accept 5 students on each course,NP,NP,#,location,sentient,#,LOC,PTNT,
accept,#,7,#,#,Each course accepts 5 students/We accept 5 students on each course,NP,NP,PP,sentient,sentient,location,AGNT,PTNT,LOC
access,#,1,#,#,Kim accessed the data,NP,NP,#,sentient,info,#,AGNT,THME,
access,#,2,#,#,Kim accessed the building,NP,NP,#,animate,location,#,AGNT,LOC,
accommodate,1,2,#,sense 1 excluded as obscure,Kim accommodated her appearance (to suit her surroundings),NP,NP,#,*,*,#,EFNT,PTNT,
accommodate,1,3 6 7,#,#,Kim accommodated Mary with the necessary instructions,NP,NP,PP(with),sentient,sentient,*,AGNT,RCPT,THME
accommodate,1,4 5,#,#,The hotel accommodates 50 guests/50 guests can be accommodated in the hotel,NP,NP,PP,sentient,sentient,location,AGNT,PTNT,LOC
accommodate,1,4 5,#,#,The hotel accommodates 50 guests/50 guests can be accommodated in the hotel,NP,NP,#,location,sentient,#,LOC,PTNT,
accompany,#,2 3 4,1,"1 is a figurative subsense, with broader selectional preferences: A bottle of wine accompanied the meal ",Kim accompanied Mary,NP,NP,#,sentient,sentient,#,AGNT,THME,
accomplish,#,1,#,#,Kim accomplished the task,NP,NP,#,sentient,abstract,#,AGNT,THME,
accomplish,#,2,#,#,Kim accomplished perfection,NP,NP,#,*,*,#,EFNT,FORM,
accumulate,#,1 2,#,#,Kim accumulated piles of work,NP,NP,#,*,*,#,EFNT,FORM,
accumulate,#,1 2,#,#,Kim accumulated piles of work,NP,NP,PP(from),*,*,*,EFNT,FORM,SRCE
accumulate,#,3,#,#,A crowd accumulated at the end of Main Street,NPcoll,#,#,animate,#,#,EFNT,#,
accuse,#,1,#,#,Kim accused John of cheating,NP,NP,#,sentient,sentient,#,AGNT,Addressee,
accuse,#,1,#,#,Kim accused John of cheating,NP,NP,PP(of),sentient,sentient,*,AGNT,Addressee,Said
accustom,#,1,#,#,Kim accustomed herself to her new surroundings,NP,NPrefl,PP(to),sentient,sentient,abstract,AGNT,PTNT,Experienced
ache,#, 1 3,#,#, Kim's head ached,NP,#,#,*,#,#,Experienced,#,
ache,#,2,#,#, Kim ached for affection,NP,PP(for),#,sentient,*,#,EXPR,THME,
achieve,#,1,#,#,Kim achieved perfection,NP,NP,#,*,*,#,EFNT,FORM,
acknowledge,#,1 2 3,#,#,Kim acknowledged that it was true/Kim acknowledged it to be true,NP,NP,PP(as),sentient,*,*,AGNT,RCPT,THME
acknowledge,#,1 2 3,#,#,Kim acknowledged that it was true/Kim acknowledged it to be true,NP,Scomp(that),#,sentient,*,#,AGNT,THME,
acknowledge,#,1 2 3,#,#,Kim acknowledged that it was true/Kim acknowledged it to be true,NP,NP,VPinf,sentient,*,*,AGNT,RCPT,THME
acknowledge,#,4 5 6,#,#,Kim acknowledged Mary,NP,NP,#,sentient,*,#,AGNT,THME,
acquaint,#,1 2,#,#,Kim acquainted herself with her surroundings,NP,NP,PP(with),sentient,sentient,*,AGNT,PTNT,THME
acquaint,#,1 2,#,#,Kim acquainted herself with her surroundings,NP,NPrefl,PP(with),sentient,sentient,*,AGNT,PTNT,THME
acquire,#,1 2 3,#,#,Kim acquired a new car from Mary,NP,NP,PP(from),*,*,*,EFNT,FORM,SRCE
acquire,#,1 2 3,#,#,Kim acquired a new car from Mary,NP,NP,#,*,*,#,EFNT,FORM,
acquire,#,NIWN1,#,#,Kim acquired her knowledge from text books,NP,NP,PP(from),sentient,info,location,AGNT,THME,SRCE
acquire,#,NIWN1,#,#,Kim acquired her knowledge from text books,NP,NP,PP(from),sentient,info,sentient,AGNT,THME,SRCE
acquire,#,NIWN1,#,#,Kim acquired her knowledge from text books,NP,NP,#,sentient,info,#,AGNT,THME,
act,#,1,#,#,The government acted to reduce unemployment/The government acted,NP,#,#,sentient,#,#,AGNT,#,
act,#,1,#,#,The government acted to reduce unemployment/The government acted,NP,VPinf,#,sentient,*,#,AGNT,RSLT,
act,#,2 6,#,#,Kim acted stupid,NP,#,#,sentient,#,#,AGNT,#,
act,#,2 6,#,#,Kim acted stupid,NP,Adj,#,sentient,*,#,AGNT,FORM,
act,#,3 5,#,#,The troupe acted Hamlet,NP,NP,#,sentient,abstract,#,AGNT,PTNT,
act,#,4,#,#,Kim acted as interpreter,NP,PP(as),#,sentient,sentient,#,AGNT,FORM,
act,#,7,#,#,The drugs acted,NP,#,#,*,#,#,EFNT,#,
activate,#,1 2 3 4 5,#,#,Kim activated the process,NP,NP,#,*,*,#,EFNT,PTNT,
adapt,5,1,#,sense 5 excluded as obscure,Kim adapted her appearance (to suit her surroundings),NP,NP,#,*,*,#,EFNT,PTNT,
adapt,5,2 4,#,#,Kim adapted the novel,NP,NP,#,sentient,*,#,AGNT,RSLT,
adapt,5,3 6,#,#,Kim adapted (herself) to the situation,NP,NPrefl,PP(to),*,*,*,EFNT,PTNT,THME
adapt,5,3 6,#,#,Kim adapted (herself) to the situation,NP,PP(to),#,*,*,#,EFNT,THME,
adapt,5,3 6,#,#,Kim adapted (herself) to the situation,NP,#,#,*,#,#,EFNT,#,
add,#,1 3 4 5,#,#,Kim added eggs to the mixture,NP,NP,PP(to),sentient,*,*,AGNT,FORM,FORM
add,#,1 3 4 5,#,#,Kim added eggs to the mixture,NP,NP,#,sentient,*,#,AGNT,FORM,
add,#,2,#,#,Kim added that she agreed,NP,NP,#,sentient,info,#,AGNT,said,
